Ticker,Price,Open,High,Low,Change,Change%,Volume
DANGCEM,810.0,794.9,794.9,794.9,-15.1,-1.86,1260225.0
MTNN,777.9,780.0,780.0,779.0,1.6,0.21,8059339.0
ACCESSCORP,24.9,24.9,25.0,24.9,0.05,0.2,65251087.0
GTCO,117.45,117.65,118.0,117.4,0.05,0.04,30108956.0
BUACEMENT,247.3,269.9,270.0,269.9,22.7,9.18,2961220.0
STANBIC,131.0,135.0,135.0,135.0,4.0,3.05,930063.0
TRANSCORP,48.5,48.7,48.7,48.0,-0.5,-1.03,1491775.0
UBA,45.9,46.0,46.0,45.5,-0.2,-0.44,13731903.0
SEPLAT,9099.9,9099.9,9099.9,9099.9,699.9,8.33,24731.0
